IPR_domain_description	n
Family Pyridoxamine 5'-phosphate oxidase-related	1
Family SAP30-binding protein	1
Family Scytalone dehydratase	1
Family Sin3 associated polypeptide p18	1
Family Spherulation-specific family 4	1
Family Steryl acetyl hydrolase 1-like	1
Family Succinylglutamate desuccinylase/aspartoacylase	1
Family Sulfotransferase, S. mansonii-type	1
Family TATA-box binding protein	1
Family Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase	1
Family Tyrosine/serine-protein phosphatase IphP-type	1
Family Zinc/iron permease	1
Repeat Collagen triple helix repeat	1
Repeat Dextranase, beta solenoid repeat	1
Repeat Isopullulanase beta-solenoid repeat	1
Repeat PQ-loop repeat	1
Repeat PT repeat	1
Repeat Protein of unknown function DUF3659	1
Repeat Pyrrolo-quinoline quinone repeat	1
Repeat Regulator of chromosome condensation, RCC1	1
