dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH78_e23	GH78:35|CBM67:1|GH79:1	-	-	518	SpseudVPRI43531predictedgene_005835-T1	1371	5.8e-228	11	509	304	799	0.96138996139
GH28_e58	GH28:220	3.2.1.67:7|3.2.1.-:2	pectin, pectin	352	SpseudVPRI43531predictedgene_008243-T1	443	2.6e-157	1	351	78	428	0.994318181818
GH154_e10	GH154:86	-	-	357	Sschen1099predictedgene_001480-T1	727	9.4e-153	1	357	15	408	0.997198879552
GT31_e37	GT31:25	-	-	54	Sschen1099predictedgene_001807-T1	462	1.5e-23	1	54	189	242	0.981481481481
AA1_e22	AA1:24	-	-	492	Sschen1099predictedgene_002220-T1	771	4.9e-187	1	491	212	726	0.99593495935
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	Sschen1099predictedgene_002553-T1	669	9.9e-25	10	188	201	386	0.426858513189
AA1_e29	AA1:21	-	-	498	Sschen1099predictedgene_003917-T1	686	2.1e-164	2	498	152	651	0.995983935743
GH3_e116	GH3:66	3.2.1.21:2	beta-glucan	213	Sschen1099predictedgene_004989-T1	860	9.9e-112	3	212	56	265	0.981220657277
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	Sschen1099predictedgene_005565-T1	479	2.3e-139	1	417	41	476	0.997601918465
GH18_e107	GH18:17	-	-	321	Sschen1099predictedgene_005689-T1	362	8.9e-104	1	319	10	346	0.990654205607
GH154_e10	GH154:86	-	-	357	Sschen1099predictedgene_006791-T1	678	8.8e-170	1	356	26	373	0.994397759104
CE16_e2	CE16:12	-	-	278	Sschen1099predictedgene_007013-T1	453	3.5e-102	1	278	123	431	0.996402877698
AA2_e12	AA2:15	-	-	241	Sschen1099predictedgene_007484-T1	496	2.4e-97	2	241	247	483	0.991701244813
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SvarieCBS121961predictedgene_000081-T1	487	1e-180	2	442	41	480	0.995475113122
GT71_e16	GT71:38	-	-	235	SvarieCBS121961predictedgene_000458-T1	539	5.5e-95	1	235	170	404	0.995744680851
GH47_e5	GH47:259	3.2.1.113:7	host glycan	482	SvarieCBS121961predictedgene_000735-T1	654	7.7e-201	1	482	121	617	0.997925311203
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SvarieCBS121961predictedgene_000998-T1	609	2.8e-175	1	474	61	546	0.997890295359
GH43_e285	GH43_11:2705|GH43:7|GH43_12:2	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1	xylan, xylan, xylan	292	SvarieCBS121961predictedgene_001005-T1	586	1.5e-138	1	292	5	309	0.996575342466
CBM91_e24	CBM91:3225|GH43_11:3213|GH43_12:1|GH43:1	-	xylan	200	SvarieCBS121961predictedgene_001005-T1	586	2.5e-54	7	199	362	576	0.96
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SvarieCBS121961predictedgene_002107-T1	880	2.7e-107	1	210	94	306	0.995238095238
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	SvarieCBS121961predictedgene_003351-T1	435	1.2e-173	1	351	49	401	0.997150997151
GH76_e44	GH76:127	3.2.1.101:2	alpha-mannan	363	SvarieCBS121961predictedgene_003925-T1	460	1.2e-177	2	360	31	399	0.986225895317
GH5_e137	GH5_5:216|CBM1:84|GH5:14|CBM10:2	3.2.1.4:38	beta-glucan	278	SvarieCBS121961predictedgene_004088-T1	343	1.2e-138	1	278	43	321	0.996402877698
GH3_e223	GH3:90|CBM1:15|CE16:3	3.2.1.21:16|3.2.1.-:3	beta-glucan, beta-glucan	207	SvarieCBS121961predictedgene_004209-T1	730	1.2e-110	2	207	74	279	0.990338164251
AA9_e5	AA9:14|CBM18:11	-	cellulose	221	SvarieCBS121961predictedgene_004728-T1	384	3.7e-97	3	220	12	230	0.981900452489
GH55_e8	GH55:191|CBM50:9|CBM66:1	3.2.1.58:16	beta-glucan	748	SvarieCBS121961predictedgene_005544-T1	780	0	4	748	22	779	0.994652406417
GH92_e35	GH92:160	-	-	510	SvarieCBS121961predictedgene_005547-T1	896	2.4e-236	1	509	330	873	0.996078431373
GH31_e31	GH31:4050	3.2.1.177:12	xyloglucan	431	SvarieCBS121961predictedgene_005824-T1	791	1.2e-209	1	430	263	703	0.99535962877
GT61_e19	GT61:14	-	-	120	SvarieCBS121961predictedgene_006061-T1	473	1.8e-37	1	116	313	436	0.958333333333
GH47_e16	GH47:103	3.2.1.113:12	host glycan	465	SvarieCBS121961predictedgene_006242-T1	529	7.9e-216	1	464	49	524	0.995698924731
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SvarieCBS121961predictedgene_009189-T1	994	1.5e-108	2	210	180	393	0.990476190476
GH135_e25	GH135:7	-	-	228	SvarieCBS121961predictedgene_009727-T1	303	9.8e-31	1	167	17	196	0.728070175439
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	SvarieCBS121961predictedgene_009851-T1	342	2.3e-139	1	309	5	336	0.993548387097
GH3_e116	GH3:66	3.2.1.21:2	beta-glucan	213	SBRCBS47491_000074-T1	893	1.9e-109	2	212	88	298	0.985915492958
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SBRCBS47491_000569-T1	480	1.3e-143	1	417	41	476	0.997601918465
GH131_e0	GH131:19	-	-	254	SBRCBS47491_000800-T1	297	1e-115	1	254	35	294	0.996062992126
GT69_e0	GT69:44	-	-	243	SBRCBS47491_001610-T1	426	2.5e-116	1	243	112	352	0.995884773663
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SBRCBS47491_001681-T1	480	2.5e-203	2	442	27	477	0.995475113122
GH154_e10	GH154:86	-	-	357	SBRCBS47491_002781-T1	1066	4.7e-172	1	356	409	756	0.994397759104
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SBRCBS47491_004094-T1	726	2.2e-19	10	184	150	334	0.41726618705
AA1_e22	AA1:24	-	-	492	SBRCBS47491_004214-T1	720	3.5e-190	1	491	160	671	0.99593495935
AA1_e29	AA1:21	-	-	498	SBRCBS47491_005205-T1	557	8.8e-164	2	498	35	525	0.995983935743
GH154_e10	GH154:86	-	-	357	SBRCBS47491_005944-T1	745	7.9e-155	1	357	15	421	0.997198879552
GH2_e61	GH2:894|CBM67:5|GH43_34:1|GH42:1	3.2.1.23:12	beta-galactan	827	SBRCBS47491_007481-T1	1118	5.2e-275	23	823	44	988	0.967351874244
CE16_e2	CE16:12	-	-	278	SBRCBS47491_007985-T1	430	3.7e-104	1	278	96	394	0.996402877698
CE5_e49	CE5:6	-	-	192	SBRCBS47491_008721-T1	325	6.7e-50	2	191	44	268	0.984375
GH28_e58	GH28:220	3.2.1.67:7|3.2.1.-:2	pectin, pectin	352	SBRCBS47491_008893-T1	444	1e-158	1	351	79	429	0.994318181818
AA2_e12	AA2:15	-	-	241	SBRCBS47491_009834-T1	496	9.1e-98	4	241	250	483	0.983402489627
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	SCUCBS95973_001503-T1	434	4.2e-173	1	351	48	400	0.997150997151
GH76_e44	GH76:127	3.2.1.101:2	alpha-mannan	363	SCUCBS95973_002758-T1	460	1.2e-176	2	359	31	398	0.98347107438
AA9_e5	AA9:14|CBM18:11	-	cellulose	221	SCUCBS95973_003511-T1	387	5.1e-95	3	219	11	234	0.977375565611
GH16_e200	GH16_18:28	-	-	156	SCUCBS95973_004091-T1	369	3.2e-73	1	156	70	226	0.99358974359
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SCUCBS95973_004188-T1	848	1.8e-95	16	210	74	271	0.92380952381
GH47_e16	GH47:103	3.2.1.113:12	host glycan	465	SCUCBS95973_004486-T1	535	6.3e-217	1	464	47	526	0.995698924731
GH18_e20	GH18:235|GT1:1	3.2.1.14:25	chitin	353	SCUCBS95973_004655-T1	470	7.2e-120	3	352	86	435	0.988668555241
CE8_e105	CE8:21	3.1.1.11:8	pectin	281	SCUCBS95973_006546-T1	327	2.7e-131	2	280	29	305	0.989323843416
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SCUCBS95973_007625-T1	668	1.7e-25	10	182	200	378	0.412470023981
GH43_e285	GH43_11:2705|GH43:7|GH43_12:2	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1	xylan, xylan, xylan	292	SCUCBS95973_008473-T1	591	3e-137	1	292	5	309	0.996575342466
CBM91_e24	CBM91:3225|GH43_11:3213|GH43_12:1|GH43:1	-	xylan	200	SCUCBS95973_008473-T1	591	4.1e-52	6	199	361	581	0.965
GH55_e8	GH55:191|CBM50:9|CBM66:1	3.2.1.58:16	beta-glucan	748	SCUCBS95973_008734-T1	784	0	5	748	21	783	0.993315508021
AA3_e28	AA3_2:42|AA3:1	-	-	565	SCUCBS95973_008752-T1	526	5.1e-169	1	426	9	402	0.752212389381
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	SCUCBS95973_008986-T1	1000	5.8e-107	2	210	183	396	0.990476190476
GT90_e11	GT90:72	-	-	290	SEUCBS139899_002534-T1	652	5e-122	1	290	339	633	0.996551724138
GH125_e2	GH125:180	-	-	423	SEUCBS139899_007132-T1	589	1.2e-60	1	152	87	253	0.356973995272
GH125_e2	GH125:180	-	-	423	SEUCBS139899_007132-T1	589	9.4e-115	144	423	264	575	0.659574468085
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	SEUCBS139899_008119-T1	349	1.1e-147	1	289	29	320	0.993103448276
CE5_e49	CE5:6	-	-	192	SEUCBS139899_008825-T1	318	5.7e-51	2	191	42	258	0.984375
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SEUCBS139899_009301-T1	500	5.1e-156	3	441	22	495	0.990950226244
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SEUCBS139899_009403-T1	733	5.6e-21	10	194	159	348	0.441247002398
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SEUCBS139899_009447-T1	830	2.3e-110	1	214	33	246	0.995327102804
GH18_e107	GH18:17	-	-	321	SEUCBS140593_002178-T1	362	1.3e-95	1	319	10	346	0.990654205607
GT31_e37	GT31:25	-	-	54	SEUCBS140593_004029-T1	464	1.4e-21	4	54	192	242	0.925925925926
GH5_e56	GH5_24:29	-	-	314	SEUCBS140593_004233-T1	426	2.4e-173	1	312	77	389	0.990445859873
GH106_e15	GH106:19|GT2:1	-	-	933	SEUCBS140593_007515-T1	1004	1.2e-274	1	931	25	950	0.996784565916
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SEUCBS140593_008940-T1	500	3.4e-156	3	441	22	495	0.990950226244
GH28_e58	GH28:220	3.2.1.67:7|3.2.1.-:2	pectin, pectin	352	SEUCBS140593_009000-T1	445	2.3e-158	1	350	80	429	0.991477272727
CE8_e16	CE8:16|GH28:3	3.1.1.11:3|3.2.1.15:1	pectin	277	SEUCBS140593_009445-T1	735	1.1e-143	2	276	51	329	0.98916967509
GH28_e56	GH28:441|CE8:3	3.2.1.15:14|3.1.1.11:1	pectin	322	SEUCBS140593_009445-T1	735	1.9e-157	1	321	403	723	0.993788819876
AA3_e28	AA3_2:42|AA3:1	-	-	565	SEUCBS140593_009520-T1	580	3.5e-282	1	564	8	574	0.996460176991
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	STHCBS139747_001120-T1	480	9.5e-145	1	417	41	476	0.997601918465
GH3_e116	GH3:66	3.2.1.21:2	beta-glucan	213	STHCBS139747_001390-T1	893	2.6e-108	2	212	88	298	0.985915492958
AA1_e22	AA1:24	-	-	492	STHCBS139747_001504-T1	743	2e-108	1	292	163	453	0.591463414634
AA1_e22	AA1:24	-	-	492	STHCBS139747_001504-T1	743	2.2e-60	290	491	482	695	0.408536585366
AA2_e12	AA2:15	-	-	241	STHCBS139747_002308-T1	444	4.5e-95	10	240	146	373	0.954356846473
GH18_e107	GH18:17	-	-	321	STHCBS139747_004123-T1	363	4.2e-90	1	317	10	342	0.984423676012
CE16_e2	CE16:12	-	-	278	STHCBS139747_004287-T1	296	3e-76	1	238	41	295	0.852517985612
GH154_e10	GH154:86	-	-	357	STHCBS139747_005185-T1	677	9.1e-160	1	356	26	365	0.994397759104
GT31_e37	GT31:25	-	-	54	STHCBS139747_005497-T1	458	7.5e-23	1	54	184	237	0.981481481481
GH154_e10	GH154:86	-	-	357	STHCBS139747_006044-T1	847	2.3e-154	1	357	124	523	0.997198879552
AA1_e29	AA1:21	-	-	498	STHCBS139747_007007-T1	518	2.6e-145	24	498	2	484	0.951807228916
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	Sbrasi5110predictedgene_001343-T1	608	2.4e-173	1	474	60	545	0.997890295359
GH47_e5	GH47:259	3.2.1.113:7	host glycan	482	Sbrasi5110predictedgene_001525-T1	656	1.2e-199	1	482	121	621	0.997925311203
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	Sbrasi5110predictedgene_001710-T1	345	2.5e-129	1	288	30	318	0.989655172414
GH3_e223	GH3:90|CBM1:15|CE16:3	3.2.1.21:16|3.2.1.-:3	beta-glucan, beta-glucan	207	Sbrasi5110predictedgene_002356-T1	731	2.9e-110	2	207	74	280	0.990338164251
GH5_e137	GH5_5:216|CBM1:84|GH5:14|CBM10:2	3.2.1.4:38	beta-glucan	278	Sbrasi5110predictedgene_003056-T1	341	5.5e-136	1	278	41	319	0.996402877698
GH31_e31	GH31:4050	3.2.1.177:12	xyloglucan	431	Sbrasi5110predictedgene_005076-T1	553	1.2e-142	1	287	263	553	0.663573085847
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	Sbrasi5110predictedgene_005129-T1	870	1.9e-108	1	214	35	249	0.995327102804
GT71_e16	GT71:38	-	-	235	Sbrasi5110predictedgene_005258-T1	641	4.4e-93	1	235	268	502	0.995744680851
GH92_e35	GH92:160	-	-	510	Sbrasi5110predictedgene_005373-T1	896	1.9e-236	1	509	333	877	0.996078431373
GT61_e19	GT61:14	-	-	120	Sbrasi5110predictedgene_006628-T1	575	2e-36	1	116	344	467	0.958333333333
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	Sbrasi5110predictedgene_007974-T1	478	2.1e-191	3	442	32	477	0.993212669683
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SdimorCBS55374predictedgene_000197-T1	605	8.1e-170	1	474	55	563	0.997890295359
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	SdimorCBS55374predictedgene_001121-T1	344	4e-137	1	309	5	336	0.993548387097
GH125_e2	GH125:180	-	-	423	SdimorCBS55374predictedgene_002376-T1	535	8.3e-187	1	423	79	520	0.997635933806
GH135_e25	GH135:7	-	-	228	SdimorCBS55374predictedgene_003321-T1	307	1.2e-29	1	168	21	201	0.732456140351
CBM67_e14	CBM67:7|GH78:7	-	rhamnose	186	SdimorCBS55374predictedgene_004209-T1	891	6.4e-31	32	162	81	215	0.698924731183
GH78_e23	GH78:35|CBM67:1|GH79:1	-	-	518	SdimorCBS55374predictedgene_004209-T1	891	1.6e-224	12	512	322	818	0.965250965251
GH131_e0	GH131:19	-	-	254	SdimorCBS55374predictedgene_004618-T1	298	1.2e-117	1	254	36	295	0.996062992126
CE5_e24	CE5:51|CBM1:13	3.1.1.72:4	xylan	208	SdimorCBS55374predictedgene_005134-T1	226	1.3e-91	1	206	28	224	0.985576923077
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SdimorCBS55374predictedgene_006028-T1	496	4.2e-163	3	441	28	492	0.990950226244
GH18_e82	GH18:18	3.2.1.96:4	host glycan	216	SdimorCBS55374predictedgene_006545-T1	400	1.4e-93	1	215	58	286	0.990740740741
GH88_e4	GH88:37	-	-	401	SdimorCBS55374predictedgene_010175-T1	512	7.8e-160	1	401	90	503	0.997506234414
GH154_e10	GH154:86	-	-	357	SeuskaVPRI43754predictedgene_000285-T1	720	4.2e-156	1	357	15	408	0.997198879552
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SeuskaVPRI43754predictedgene_000856-T1	535	1.4e-171	15	474	1	472	0.96835443038
GH2_e61	GH2:894|CBM67:5|GH43_34:1|GH42:1	3.2.1.23:12	beta-galactan	827	SeuskaVPRI43754predictedgene_001045-T1	1092	4e-286	17	824	35	966	0.975816203144
AA2_e12	AA2:15	-	-	241	SeuskaVPRI43754predictedgene_001448-T1	499	1.2e-95	2	241	250	486	0.991701244813
CE16_e2	CE16:12	-	-	278	SeuskaVPRI43754predictedgene_001748-T1	383	6.5e-99	1	278	54	361	0.996402877698
GT69_e0	GT69:44	-	-	243	SeuskaVPRI43754predictedgene_002639-T1	425	7e-113	1	243	106	348	0.995884773663
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SeuskaVPRI43754predictedgene_002970-T1	482	1.1e-139	1	417	41	478	0.997601918465
GH154_e10	GH154:86	-	-	357	SeuskaVPRI43754predictedgene_004397-T1	675	8.4e-173	1	356	26	373	0.994397759104
GH3_e116	GH3:66	3.2.1.21:2	beta-glucan	213	SeuskaVPRI43754predictedgene_004898-T1	889	3.3e-109	2	212	84	294	0.985915492958
AA1_e22	AA1:24	-	-	492	SeuskaVPRI43754predictedgene_006746-T1	753	5.4e-187	1	491	193	707	0.99593495935
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SeuskaVPRI43754predictedgene_007520-T1	875	1e-108	1	214	44	259	0.995327102804
AA1_e29	AA1:21	-	-	498	SeuskaVPRI43754predictedgene_008628-T1	685	1.1e-165	2	498	150	642	0.995983935743
GH47_e5	GH47:259	3.2.1.113:7	host glycan	482	SgloboCBS120340predictedgene_001540-T1	653	1.4e-200	1	481	121	617	0.995850622407
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SgloboCBS120340predictedgene_002649-T1	756	2.1e-18	10	188	174	363	0.426858513189
GH31_e31	GH31:4050	3.2.1.177:12	xyloglucan	431	SgloboCBS120340predictedgene_003136-T1	791	6.9e-207	1	430	263	703	0.99535962877
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	SgloboCBS120340predictedgene_003172-T1	349	6.7e-147	1	288	30	320	0.989655172414
GH5_e137	GH5_5:216|CBM1:84|GH5:14|CBM10:2	3.2.1.4:38	beta-glucan	278	SgloboCBS120340predictedgene_003260-T1	341	2.1e-138	1	278	41	319	0.996402877698
CE5_e11	CE5:7	-	-	193	SgloboCBS120340predictedgene_003355-T1	302	2e-50	16	191	54	245	0.906735751295
GH92_e35	GH92:160	-	-	510	SgloboCBS120340predictedgene_004323-T1	896	1.4e-236	1	509	333	877	0.996078431373
GH3_e223	GH3:90|CBM1:15|CE16:3	3.2.1.21:16|3.2.1.-:3	beta-glucan, beta-glucan	207	SgloboCBS120340predictedgene_005139-T1	731	8.8e-111	2	207	74	280	0.990338164251
GT61_e19	GT61:14	-	-	120	SgloboCBS120340predictedgene_007474-T1	525	9.5e-37	1	119	334	460	0.983333333333
GT71_e16	GT71:38	-	-	235	SgloboCBS120340predictedgene_007859-T1	609	1.7e-93	1	235	267	501	0.995744680851
CBM67_e14	CBM67:7|GH78:7	-	rhamnose	186	ShumicCBS118129predictedgene_000536-T1	798	2.2e-36	1	142	16	157	0.758064516129
GH78_e23	GH78:35|CBM67:1|GH79:1	-	-	518	ShumicCBS118129predictedgene_000536-T1	798	5.1e-241	2	517	259	764	0.994208494208
AA9_e5	AA9:14|CBM18:11	-	cellulose	221	ShumicCBS118129predictedgene_000925-T1	393	8.9e-96	2	220	11	232	0.986425339367
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	ShumicCBS118129predictedgene_003102-T1	870	1.4e-88	1	210	98	296	0.995238095238
GH18_e20	GH18:235|GT1:1	3.2.1.14:25	chitin	353	ShumicCBS118129predictedgene_003978-T1	453	9.9e-127	16	352	85	418	0.951841359773
GH76_e44	GH76:127	3.2.1.101:2	alpha-mannan	363	ShumicCBS118129predictedgene_004464-T1	459	5.8e-178	1	360	30	398	0.988980716253
GH18_e272	GH18:958|CBM50:6	3.2.1.14:58	chitin	351	ShumicCBS118129predictedgene_004552-T1	431	3.8e-173	1	351	44	396	0.997150997151
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	ShumicCBS118129predictedgene_004684-T1	484	5.7e-112	2	441	32	475	0.993212669683
GH16_e200	GH16_18:28	-	-	156	ShumicCBS118129predictedgene_006405-T1	372	1.7e-72	1	156	70	226	0.99358974359
CE8_e16	CE8:16|GH28:3	3.1.1.11:3|3.2.1.15:1	pectin	277	ShumicCBS118129predictedgene_006980-T1	380	2.2e-99	4	276	67	356	0.981949458484
GH3_e180	GH3:184	3.2.1.21:13	beta-glucan	210	ShumicCBS118129predictedgene_007568-T1	1002	1.9e-108	2	210	184	397	0.990476190476
AA3_e28	AA3_2:42|AA3:1	-	-	565	ShumicCBS118129predictedgene_007958-T1	578	9.4e-284	1	564	8	572	0.996460176991
CE5_e49	CE5:6	-	-	192	ShumicCBS118129predictedgene_008269-T1	290	2e-45	12	190	51	239	0.927083333333
GH43_e285	GH43_11:2705|GH43:7|GH43_12:2	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1	xylan, xylan, xylan	292	ShumicCBS118129predictedgene_008328-T1	586	4e-139	1	292	5	309	0.996575342466
CBM91_e24	CBM91:3225|GH43_11:3213|GH43_12:1|GH43:1	-	xylan	200	ShumicCBS118129predictedgene_008328-T1	586	9.2e-54	7	199	362	576	0.96
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	ShumicCBS118129predictedgene_008342-T1	609	1.8e-176	1	474	61	546	0.997890295359
GH55_e8	GH55:191|CBM50:9|CBM66:1	3.2.1.58:16	beta-glucan	748	ShumicCBS118129predictedgene_008617-T1	779	0	4	748	22	778	0.994652406417
GH47_e16	GH47:103	3.2.1.113:12	host glycan	465	ShumicCBS118129predictedgene_009112-T1	538	3.1e-219	1	464	58	533	0.995698924731
GH135_e26	GH135:5	-	-	229	SinflaCBS23968predictedgene_001240-T1	307	4.3e-30	1	167	21	204	0.724890829694
GH43_e53	GH43_1:1254|GH43_10:16|GH5_21:6|CBM6:5|GH43:4|GH10:3|GH43_33:2|GH43_32:2|GH43_34:1|GH43_29:1|GH117:1	3.2.1.37:19|3.2.1.55:4	xylan, xylan	310	SinflaCBS23968predictedgene_001618-T1	343	5.8e-139	1	309	5	336	0.993548387097
GH125_e2	GH125:180	-	-	423	SinflaCBS23968predictedgene_004644-T1	535	4.5e-185	1	423	79	520	0.997635933806
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SinflaCBS23968predictedgene_006282-T1	480	1.6e-119	5	441	13	469	0.986425339367
GH131_e0	GH131:19	-	-	254	SinflaCBS23968predictedgene_006531-T1	297	2.5e-119	1	254	36	294	0.996062992126
GH18_e82	GH18:18	3.2.1.96:4	host glycan	216	SinflaCBS23968predictedgene_008596-T1	401	6.8e-94	1	215	58	287	0.990740740741
GH88_e4	GH88:37	-	-	401	SinflaCBS23968predictedgene_010838-T1	339	7.5e-97	1	236	102	336	0.586034912718
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	SlurieCBS93772predictedgene_001735-T1	684	5e-163	1	473	115	642	0.995780590717
GH125_e2	GH125:180	-	-	423	SlurieCBS93772predictedgene_002048-T1	619	2.5e-59	1	153	107	277	0.359338061466
GH125_e2	GH125:180	-	-	423	SlurieCBS93772predictedgene_002048-T1	619	6.9e-113	143	423	288	605	0.661938534279
CE5_e24	CE5:51|CBM1:13	3.1.1.72:4	xylan	208	SlurieCBS93772predictedgene_002348-T1	244	1.5e-50	56	207	93	242	0.725961538462
GT90_e11	GT90:72	-	-	290	SlurieCBS93772predictedgene_003131-T1	700	2.6e-117	2	290	362	686	0.993103448276
GT61_e19	GT61:14	-	-	120	SlurieCBS93772predictedgene_003144-T1	441	5.5e-40	1	117	231	347	0.966666666667
CBM50_e516	CBM50:10|GH18:1	-	chitin, peptidoglycan	34	SlurieCBS93772predictedgene_007385-T1	620	7.5e-16	1	34	575	609	0.970588235294
GH5_e65	GH5_5:61|CBM1:36	3.2.1.4:20	beta-glucan	290	SlurieCBS93772predictedgene_007890-T1	345	4.8e-128	1	288	30	318	0.989655172414
GH106_e15	GH106:19|GT2:1	-	-	933	SmexicCBS120341predictedgene_000071-T1	1048	3.9e-264	1	931	42	993	0.996784565916
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SmexicCBS120341predictedgene_000364-T1	886	7.3e-27	10	181	200	377	0.410071942446
GT31_e37	GT31:25	-	-	54	SmexicCBS120341predictedgene_002536-T1	459	2.3e-23	1	54	186	239	0.981481481481
CE8_e16	CE8:16|GH28:3	3.1.1.11:3|3.2.1.15:1	pectin	277	SmexicCBS120341predictedgene_002580-T1	384	4.6e-101	4	276	67	360	0.981949458484
GH30_e48	GH30_7:28|CBM1:1	3.2.1.8:3|3.2.1.-:3	xylan, xylan	442	SmexicCBS120341predictedgene_003409-T1	502	8.1e-157	3	441	32	498	0.990950226244
GH3_e51	GH3:223	3.2.1.21:3	beta-glucan	214	SmexicCBS120341predictedgene_003762-T1	773	1e-109	1	214	35	248	0.995327102804
GH2_e61	GH2:894|CBM67:5|GH43_34:1|GH42:1	3.2.1.23:12	beta-galactan	827	SmexicCBS120341predictedgene_005055-T1	1093	3.6e-279	23	824	44	968	0.968561064087
GH18_e107	GH18:17	-	-	321	SmexicCBS120341predictedgene_005100-T1	359	3.6e-107	1	317	10	341	0.984423676012
GH28_e58	GH28:220	3.2.1.67:7|3.2.1.-:2	pectin, pectin	352	SmexicCBS120341predictedgene_006456-T1	445	3.9e-157	1	350	80	429	0.991477272727
GH5_e56	GH5_24:29	-	-	314	SmexicCBS120341predictedgene_007090-T1	429	1.1e-167	1	312	77	391	0.990445859873
CE5_e24	CE5:51|CBM1:13	3.1.1.72:4	xylan	208	SmexicCBS120341predictedgene_010407-T1	245	3.9e-74	1	207	43	243	0.990384615385
GT69_e0	GT69:44	-	-	243	SnigroVPRI43755predictedgene_001774-T1	426	1.2e-108	1	242	110	351	0.991769547325
GH154_e10	GH154:86	-	-	357	SnigroVPRI43755predictedgene_002621-T1	726	7.7e-148	1	356	15	415	0.994397759104
AA7_e0	AA7:17	1.1.3.-:1	chitooligosaccharide	417	SnigroVPRI43755predictedgene_002901-T1	483	4.8e-130	1	417	41	479	0.997601918465
AA2_e12	AA2:15	-	-	241	SnigroVPRI43755predictedgene_003277-T1	456	4.2e-95	2	240	208	442	0.98755186722
GH3_e116	GH3:66	3.2.1.21:2	beta-glucan	213	SnigroVPRI43755predictedgene_003334-T1	681	2.4e-39	128	212	2	86	0.394366197183
