NODE_1_length_651419_cov_79.581183	SEPCBS119000_NODE1
NODE_424_length_862_cov_1.476190	SEPCBS119000_NODE424
NODE_425_length_858_cov_3.458276	SEPCBS119000_NODE425
NODE_426_length_856_cov_152.349794	SEPCBS119000_NODE426
NODE_427_length_842_cov_151.320280	SEPCBS119000_NODE427
NODE_428_length_840_cov_79.856942	SEPCBS119000_NODE428
NODE_429_length_834_cov_102.288543	SEPCBS119000_NODE429
NODE_430_length_829_cov_117.968661	SEPCBS119000_NODE430
NODE_431_length_816_cov_2.470247	SEPCBS119000_NODE431
NODE_432_length_815_cov_143.863372	SEPCBS119000_NODE432
NODE_433_length_812_cov_510.585401	SEPCBS119000_NODE433
NODE_434_length_802_cov_140.703704	SEPCBS119000_NODE434
NODE_435_length_796_cov_83.648729	SEPCBS119000_NODE435
NODE_436_length_791_cov_155.463855	SEPCBS119000_NODE436
NODE_437_length_791_cov_1.378012	SEPCBS119000_NODE437
NODE_438_length_784_cov_75.181126	SEPCBS119000_NODE438
NODE_439_length_783_cov_1102.951220	SEPCBS119000_NODE439
NODE_440_length_783_cov_254.786585	SEPCBS119000_NODE440
NODE_441_length_780_cov_448.151608	SEPCBS119000_NODE441
NODE_442_length_780_cov_155.747320	SEPCBS119000_NODE442
NODE_443_length_773_cov_1.472136	SEPCBS119000_NODE443
NODE_444_length_769_cov_2.465732	SEPCBS119000_NODE444
NODE_445_length_769_cov_1.484424	SEPCBS119000_NODE445
NODE_446_length_768_cov_387.330733	SEPCBS119000_NODE446
NODE_447_length_766_cov_157.931142	SEPCBS119000_NODE447
NODE_448_length_764_cov_259.171115	SEPCBS119000_NODE448
NODE_449_length_761_cov_78.214511	SEPCBS119000_NODE449
NODE_450_length_758_cov_1.453249	SEPCBS119000_NODE450
NODE_451_length_756_cov_352.577107	SEPCBS119000_NODE451
NODE_452_length_753_cov_100.509585	SEPCBS119000_NODE452
NODE_453_length_753_cov_50.555911	SEPCBS119000_NODE453
NODE_454_length_745_cov_232.184466	SEPCBS119000_NODE454
NODE_455_length_743_cov_166.527597	SEPCBS119000_NODE455
NODE_456_length_742_cov_512.627642	SEPCBS119000_NODE456
NODE_457_length_742_cov_2.975610	SEPCBS119000_NODE457
NODE_458_length_736_cov_2.571429	SEPCBS119000_NODE458
NODE_459_length_735_cov_2.434211	SEPCBS119000_NODE459
NODE_460_length_726_cov_119.071786	SEPCBS119000_NODE460
NODE_461_length_726_cov_88.056761	SEPCBS119000_NODE461
NODE_462_length_724_cov_2.469012	SEPCBS119000_NODE462
NODE_463_length_720_cov_343.556492	SEPCBS119000_NODE463
NODE_464_length_718_cov_206.165821	SEPCBS119000_NODE464
NODE_465_length_717_cov_3.067797	SEPCBS119000_NODE465
NODE_466_length_712_cov_245.242735	SEPCBS119000_NODE466
NODE_467_length_710_cov_1.809605	SEPCBS119000_NODE467
NODE_468_length_707_cov_133.832759	SEPCBS119000_NODE468
NODE_469_length_706_cov_1.709845	SEPCBS119000_NODE469
NODE_470_length_702_cov_1089.869565	SEPCBS119000_NODE470
NODE_471_length_702_cov_216.236522	SEPCBS119000_NODE471
NODE_472_length_701_cov_290.426829	SEPCBS119000_NODE472
NODE_473_length_699_cov_1.755245	SEPCBS119000_NODE473
NODE_474_length_699_cov_1.202797	SEPCBS119000_NODE474
NODE_475_length_696_cov_2.137083	SEPCBS119000_NODE475
NODE_476_length_690_cov_235.490231	SEPCBS119000_NODE476
NODE_477_length_688_cov_367.773619	SEPCBS119000_NODE477
NODE_478_length_685_cov_2804.908602	SEPCBS119000_NODE478
NODE_479_length_684_cov_361.425494	SEPCBS119000_NODE479
NODE_480_length_681_cov_1.351986	SEPCBS119000_NODE480
NODE_481_length_678_cov_171.125227	SEPCBS119000_NODE481
NODE_482_length_678_cov_99.791289	SEPCBS119000_NODE482
NODE_483_length_678_cov_2.232305	SEPCBS119000_NODE483
NODE_484_length_677_cov_283.294545	SEPCBS119000_NODE484
NODE_485_length_677_cov_223.301818	SEPCBS119000_NODE485
NODE_486_length_668_cov_1.256932	SEPCBS119000_NODE486
NODE_487_length_667_cov_2.296296	SEPCBS119000_NODE487
NODE_488_length_666_cov_126.183673	SEPCBS119000_NODE488
NODE_489_length_666_cov_1.903525	SEPCBS119000_NODE489
NODE_490_length_663_cov_1.983209	SEPCBS119000_NODE490
NODE_491_length_662_cov_1.284112	SEPCBS119000_NODE491
NODE_492_length_656_cov_416.415879	SEPCBS119000_NODE492
NODE_493_length_656_cov_1.221172	SEPCBS119000_NODE493
NODE_494_length_655_cov_164.265152	SEPCBS119000_NODE494
NODE_495_length_651_cov_1.612595	SEPCBS119000_NODE495
NODE_496_length_650_cov_156.858509	SEPCBS119000_NODE496
NODE_497_length_650_cov_1.621415	SEPCBS119000_NODE497
NODE_498_length_648_cov_272.211132	SEPCBS119000_NODE498
NODE_499_length_646_cov_394.591522	SEPCBS119000_NODE499
NODE_500_length_645_cov_203.590734	SEPCBS119000_NODE500
NODE_501_length_643_cov_2.050388	SEPCBS119000_NODE501
NODE_502_length_642_cov_476.213592	SEPCBS119000_NODE502
NODE_503_length_641_cov_479.284047	SEPCBS119000_NODE503
NODE_504_length_637_cov_302.300000	SEPCBS119000_NODE504
NODE_505_length_636_cov_1.442043	SEPCBS119000_NODE505
NODE_506_length_635_cov_324.588583	SEPCBS119000_NODE506
NODE_507_length_635_cov_1.897638	SEPCBS119000_NODE507
NODE_508_length_632_cov_91.257426	SEPCBS119000_NODE508
NODE_509_length_629_cov_1.635458	SEPCBS119000_NODE509
NODE_510_length_628_cov_1.922156	SEPCBS119000_NODE510
NODE_511_length_623_cov_159.497984	SEPCBS119000_NODE511
NODE_512_length_622_cov_625.759596	SEPCBS119000_NODE512
NODE_513_length_620_cov_122.478702	SEPCBS119000_NODE513
NODE_514_length_619_cov_667.432927	SEPCBS119000_NODE514
NODE_515_length_619_cov_247.516260	SEPCBS119000_NODE515
NODE_516_length_615_cov_2.520492	SEPCBS119000_NODE516
NODE_517_length_614_cov_229.425051	SEPCBS119000_NODE517
NODE_518_length_612_cov_1.096907	SEPCBS119000_NODE518
NODE_519_length_608_cov_2.074844	SEPCBS119000_NODE519
NODE_520_length_605_cov_84.682008	SEPCBS119000_NODE520
NODE_521_length_603_cov_76.779412	SEPCBS119000_NODE521
NODE_522_length_602_cov_413.970526	SEPCBS119000_NODE522
NODE_523_length_594_cov_77.269807	SEPCBS119000_NODE523
NODE_524_length_593_cov_0.113734	SEPCBS119000_NODE524
NODE_525_length_592_cov_245.886022	SEPCBS119000_NODE525
NODE_526_length_591_cov_82.605603	SEPCBS119000_NODE526
NODE_527_length_587_cov_113.178261	SEPCBS119000_NODE527
NODE_528_length_587_cov_1.621739	SEPCBS119000_NODE528
NODE_529_length_584_cov_1.400438	SEPCBS119000_NODE529
NODE_530_length_582_cov_363.698901	SEPCBS119000_NODE530
NODE_531_length_582_cov_269.430769	SEPCBS119000_NODE531
NODE_532_length_582_cov_0.459341	SEPCBS119000_NODE532
NODE_533_length_580_cov_2.525386	SEPCBS119000_NODE533
NODE_534_length_580_cov_2.161148	SEPCBS119000_NODE534
NODE_535_length_579_cov_224.210177	SEPCBS119000_NODE535
NODE_536_length_577_cov_2.364444	SEPCBS119000_NODE536
NODE_537_length_576_cov_1.821826	SEPCBS119000_NODE537
NODE_538_length_575_cov_64.241071	SEPCBS119000_NODE538
NODE_539_length_572_cov_322.357303	SEPCBS119000_NODE539
NODE_540_length_571_cov_148.745495	SEPCBS119000_NODE540
NODE_541_length_568_cov_443.839002	SEPCBS119000_NODE541
NODE_542_length_565_cov_1.920091	SEPCBS119000_NODE542
NODE_543_length_564_cov_2.171625	SEPCBS119000_NODE543
NODE_544_length_562_cov_138.937931	SEPCBS119000_NODE544
NODE_545_length_562_cov_75.393103	SEPCBS119000_NODE545
NODE_546_length_562_cov_2.013793	SEPCBS119000_NODE546
NODE_547_length_558_cov_55.863109	SEPCBS119000_NODE547
NODE_548_length_549_cov_167.843602	SEPCBS119000_NODE548
NODE_549_length_548_cov_364.399050	SEPCBS119000_NODE549
NODE_550_length_547_cov_131.588095	SEPCBS119000_NODE550
NODE_551_length_545_cov_217.933014	SEPCBS119000_NODE551
NODE_552_length_545_cov_46.710526	SEPCBS119000_NODE552
NODE_553_length_543_cov_69.266827	SEPCBS119000_NODE553
NODE_554_length_540_cov_290.692494	SEPCBS119000_NODE554
NODE_555_length_529_cov_296.840796	SEPCBS119000_NODE555
NODE_556_length_528_cov_226.329177	SEPCBS119000_NODE556
NODE_557_length_526_cov_354.892231	SEPCBS119000_NODE557
NODE_558_length_526_cov_65.233083	SEPCBS119000_NODE558
NODE_559_length_523_cov_130.931818	SEPCBS119000_NODE559
NODE_560_length_519_cov_82.719388	SEPCBS119000_NODE560
NODE_561_length_506_cov_72.519789	SEPCBS119000_NODE561
NODE_562_length_503_cov_90.917553	SEPCBS119000_NODE562
NODE_563_length_502_cov_255.701333	SEPCBS119000_NODE563
NODE_564_length_500_cov_128.563003	SEPCBS119000_NODE564
NODE_565_length_496_cov_226.317073	SEPCBS119000_NODE565
NODE_566_length_495_cov_191.755435	SEPCBS119000_NODE566
NODE_567_length_492_cov_90.917808	SEPCBS119000_NODE567
NODE_568_length_489_cov_755.074586	SEPCBS119000_NODE568
NODE_569_length_488_cov_1.022161	SEPCBS119000_NODE569
NODE_570_length_484_cov_107.896359	SEPCBS119000_NODE570
NODE_571_length_482_cov_177.709859	SEPCBS119000_NODE571
NODE_572_length_482_cov_137.439437	SEPCBS119000_NODE572
NODE_573_length_476_cov_304.728027	SEPCBS119000_NODE573
NODE_574_length_476_cov_253.936963	SEPCBS119000_NODE574
NODE_575_length_473_cov_534.875723	SEPCBS119000_NODE575
NODE_576_length_472_cov_1.286957	SEPCBS119000_NODE576
NODE_577_length_468_cov_1.759531	SEPCBS119000_NODE577
NODE_578_length_467_cov_180.541176	SEPCBS119000_NODE578
NODE_579_length_466_cov_70.466077	SEPCBS119000_NODE579
NODE_580_length_464_cov_710.789318	SEPCBS119000_NODE580
NODE_581_length_462_cov_70.492537	SEPCBS119000_NODE581
NODE_582_length_461_cov_247.760479	SEPCBS119000_NODE582
NODE_583_length_457_cov_99.960606	SEPCBS119000_NODE583
NODE_584_length_455_cov_182.469512	SEPCBS119000_NODE584
NODE_585_length_453_cov_0.033742	SEPCBS119000_NODE585
NODE_586_length_452_cov_68.018462	SEPCBS119000_NODE586
NODE_587_length_449_cov_238.490683	SEPCBS119000_NODE587
NODE_588_length_448_cov_164.570093	SEPCBS119000_NODE588
NODE_589_length_446_cov_516.752351	SEPCBS119000_NODE589
NODE_590_length_445_cov_329.924528	SEPCBS119000_NODE590
NODE_591_length_443_cov_64.006329	SEPCBS119000_NODE591
NODE_592_length_442_cov_152.082540	SEPCBS119000_NODE592
NODE_593_length_442_cov_64.812698	SEPCBS119000_NODE593
NODE_594_length_438_cov_63.102894	SEPCBS119000_NODE594
NODE_595_length_436_cov_183.404531	SEPCBS119000_NODE595
NODE_596_length_435_cov_345.262987	SEPCBS119000_NODE596
NODE_597_length_434_cov_80.136808	SEPCBS119000_NODE597
NODE_598_length_433_cov_1.277778	SEPCBS119000_NODE598
NODE_599_length_431_cov_413.398026	SEPCBS119000_NODE599
NODE_600_length_430_cov_79.617162	SEPCBS119000_NODE600
NODE_601_length_429_cov_463.228477	SEPCBS119000_NODE601
NODE_602_length_425_cov_103.114094	SEPCBS119000_NODE602
NODE_603_length_424_cov_251.663300	SEPCBS119000_NODE603
NODE_604_length_423_cov_139.570946	SEPCBS119000_NODE604
NODE_605_length_423_cov_64.983108	SEPCBS119000_NODE605
NODE_606_length_422_cov_85.979661	SEPCBS119000_NODE606
NODE_607_length_422_cov_49.071186	SEPCBS119000_NODE607
NODE_608_length_421_cov_405.445578	SEPCBS119000_NODE608
NODE_609_length_421_cov_107.622449	SEPCBS119000_NODE609
NODE_610_length_421_cov_75.948980	SEPCBS119000_NODE610
NODE_611_length_420_cov_33.843003	SEPCBS119000_NODE611
NODE_612_length_419_cov_0.232877	SEPCBS119000_NODE612
NODE_613_length_416_cov_1.200692	SEPCBS119000_NODE613
NODE_614_length_413_cov_635.629371	SEPCBS119000_NODE614
NODE_615_length_413_cov_0.318182	SEPCBS119000_NODE615
NODE_616_length_409_cov_343.840426	SEPCBS119000_NODE616
NODE_617_length_409_cov_281.148936	SEPCBS119000_NODE617
NODE_618_length_408_cov_109.889680	SEPCBS119000_NODE618
NODE_619_length_399_cov_267.143382	SEPCBS119000_NODE619
NODE_620_length_398_cov_134.387454	SEPCBS119000_NODE620
NODE_621_length_389_cov_71.251908	SEPCBS119000_NODE621
NODE_622_length_384_cov_0.085603	SEPCBS119000_NODE622
NODE_623_length_383_cov_1.480469	SEPCBS119000_NODE623
NODE_624_length_381_cov_0.535433	SEPCBS119000_NODE624
NODE_625_length_381_cov_0.362205	SEPCBS119000_NODE625
NODE_626_length_379_cov_72.674603	SEPCBS119000_NODE626
NODE_627_length_378_cov_300.629482	SEPCBS119000_NODE627
NODE_628_length_377_cov_80.524000	SEPCBS119000_NODE628
NODE_629_length_376_cov_205.827309	SEPCBS119000_NODE629
NODE_630_length_371_cov_61.258197	SEPCBS119000_NODE630
NODE_631_length_371_cov_1.881148	SEPCBS119000_NODE631
NODE_632_length_371_cov_1.729508	SEPCBS119000_NODE632
NODE_633_length_369_cov_58.590909	SEPCBS119000_NODE633
NODE_634_length_369_cov_1.731405	SEPCBS119000_NODE634
NODE_635_length_368_cov_1.041494	SEPCBS119000_NODE635
NODE_636_length_368_cov_0.327801	SEPCBS119000_NODE636
NODE_637_length_367_cov_66.208333	SEPCBS119000_NODE637
NODE_638_length_366_cov_56.937238	SEPCBS119000_NODE638
NODE_639_length_365_cov_283.941176	SEPCBS119000_NODE639
NODE_640_length_363_cov_253.745763	SEPCBS119000_NODE640
NODE_641_length_363_cov_195.211864	SEPCBS119000_NODE641
NODE_642_length_363_cov_149.457627	SEPCBS119000_NODE642
NODE_643_length_362_cov_144.829787	SEPCBS119000_NODE643
NODE_644_length_362_cov_1.502128	SEPCBS119000_NODE644
NODE_645_length_361_cov_347.551282	SEPCBS119000_NODE645
NODE_646_length_360_cov_3.583691	SEPCBS119000_NODE646
NODE_647_length_359_cov_0.362069	SEPCBS119000_NODE647
NODE_648_length_358_cov_83.375258	SEPCBS119000_NODE648
NODE_649_length_357_cov_77.117391	SEPCBS119000_NODE649
NODE_650_length_357_cov_0.152174	SEPCBS119000_NODE650
NODE_651_length_356_cov_2.441048	SEPCBS119000_NODE651
NODE_652_length_356_cov_0.187773	SEPCBS119000_NODE652
NODE_653_length_354_cov_3.374449	SEPCBS119000_NODE653
NODE_654_length_354_cov_2.674009	SEPCBS119000_NODE654
NODE_655_length_354_cov_1.678414	SEPCBS119000_NODE655
NODE_656_length_353_cov_250.588496	SEPCBS119000_NODE656
NODE_657_length_353_cov_88.234513	SEPCBS119000_NODE657
NODE_658_length_353_cov_1.398230	SEPCBS119000_NODE658
NODE_659_length_352_cov_1.031111	SEPCBS119000_NODE659
NODE_660_length_352_cov_0.204444	SEPCBS119000_NODE660
NODE_661_length_351_cov_86.196429	SEPCBS119000_NODE661
NODE_662_length_351_cov_1.410714	SEPCBS119000_NODE662
NODE_663_length_350_cov_0.121076	SEPCBS119000_NODE663
NODE_664_length_349_cov_64.405405	SEPCBS119000_NODE664
NODE_665_length_348_cov_0.135747	SEPCBS119000_NODE665
NODE_666_length_347_cov_162.022727	SEPCBS119000_NODE666
NODE_667_length_347_cov_143.581818	SEPCBS119000_NODE667
NODE_668_length_347_cov_0.913636	SEPCBS119000_NODE668
NODE_669_length_347_cov_0.772727	SEPCBS119000_NODE669
NODE_670_length_347_cov_0.200000	SEPCBS119000_NODE670
NODE_671_length_346_cov_298.808219	SEPCBS119000_NODE671
NODE_672_length_346_cov_0.808219	SEPCBS119000_NODE672
NODE_673_length_345_cov_17.633028	SEPCBS119000_NODE673
NODE_674_length_345_cov_1.211009	SEPCBS119000_NODE674
NODE_675_length_344_cov_1.331797	SEPCBS119000_NODE675
NODE_676_length_344_cov_0.958525	SEPCBS119000_NODE676
NODE_677_length_344_cov_0.935484	SEPCBS119000_NODE677
NODE_678_length_343_cov_0.319444	SEPCBS119000_NODE678
NODE_679_length_342_cov_1.055814	SEPCBS119000_NODE679
NODE_680_length_341_cov_122.593458	SEPCBS119000_NODE680
NODE_681_length_340_cov_945.079812	SEPCBS119000_NODE681
NODE_682_length_339_cov_130.504717	SEPCBS119000_NODE682
NODE_683_length_339_cov_1.188679	SEPCBS119000_NODE683
NODE_684_length_338_cov_156.459716	SEPCBS119000_NODE684
NODE_685_length_337_cov_1.038095	SEPCBS119000_NODE685
NODE_686_length_337_cov_0.171429	SEPCBS119000_NODE686
NODE_687_length_336_cov_1.191388	SEPCBS119000_NODE687
NODE_688_length_336_cov_0.856459	SEPCBS119000_NODE688
NODE_689_length_335_cov_1.408654	SEPCBS119000_NODE689
NODE_690_length_335_cov_0.836538	SEPCBS119000_NODE690
NODE_691_length_335_cov_0.836538	SEPCBS119000_NODE691
NODE_692_length_335_cov_0.802885	SEPCBS119000_NODE692
NODE_693_length_335_cov_0.312500	SEPCBS119000_NODE693
NODE_694_length_334_cov_106.758454	SEPCBS119000_NODE694
NODE_695_length_334_cov_1.265700	SEPCBS119000_NODE695
NODE_696_length_333_cov_99.713592	SEPCBS119000_NODE696
NODE_697_length_333_cov_1.771845	SEPCBS119000_NODE697
NODE_698_length_332_cov_1.858537	SEPCBS119000_NODE698
NODE_699_length_332_cov_1.804878	SEPCBS119000_NODE699
NODE_700_length_332_cov_0.873171	SEPCBS119000_NODE700
NODE_701_length_332_cov_0.785366	SEPCBS119000_NODE701
NODE_702_length_332_cov_0.721951	SEPCBS119000_NODE702
NODE_703_length_331_cov_2.710784	SEPCBS119000_NODE703
NODE_704_length_331_cov_1.852941	SEPCBS119000_NODE704
NODE_705_length_330_cov_274.975369	SEPCBS119000_NODE705
NODE_706_length_330_cov_42.359606	SEPCBS119000_NODE706
NODE_707_length_330_cov_0.985222	SEPCBS119000_NODE707
NODE_708_length_330_cov_0.487685	SEPCBS119000_NODE708
NODE_709_length_329_cov_2.099010	SEPCBS119000_NODE709
NODE_710_length_329_cov_1.297030	SEPCBS119000_NODE710
NODE_711_length_329_cov_0.643564	SEPCBS119000_NODE711
NODE_712_length_329_cov_0.643564	SEPCBS119000_NODE712
NODE_713_length_329_cov_0.178218	SEPCBS119000_NODE713
NODE_714_length_328_cov_95.965174	SEPCBS119000_NODE714
NODE_715_length_328_cov_1.238806	SEPCBS119000_NODE715
NODE_716_length_326_cov_1.512563	SEPCBS119000_NODE716
NODE_717_length_326_cov_1.120603	SEPCBS119000_NODE717
NODE_718_length_325_cov_77.005051	SEPCBS119000_NODE718
NODE_719_length_325_cov_16.742424	SEPCBS119000_NODE719
NODE_720_length_325_cov_1.585859	SEPCBS119000_NODE720
NODE_721_length_325_cov_1.393939	SEPCBS119000_NODE721
NODE_722_length_325_cov_0.601010	SEPCBS119000_NODE722
NODE_723_length_325_cov_0.202020	SEPCBS119000_NODE723
NODE_724_length_325_cov_0.116162	SEPCBS119000_NODE724
NODE_725_length_324_cov_76.888325	SEPCBS119000_NODE725
NODE_726_length_324_cov_0.934010	SEPCBS119000_NODE726
NODE_727_length_323_cov_355.076531	SEPCBS119000_NODE727
NODE_728_length_323_cov_1.403061	SEPCBS119000_NODE728
NODE_729_length_323_cov_0.892857	SEPCBS119000_NODE729
NODE_730_length_323_cov_0.831633	SEPCBS119000_NODE730
NODE_731_length_323_cov_0.780612	SEPCBS119000_NODE731
NODE_732_length_323_cov_0.112245	SEPCBS119000_NODE732
NODE_733_length_322_cov_2.005128	SEPCBS119000_NODE733
NODE_734_length_322_cov_1.446154	SEPCBS119000_NODE734
NODE_735_length_322_cov_0.830769	SEPCBS119000_NODE735
NODE_736_length_321_cov_148.871134	SEPCBS119000_NODE736
NODE_737_length_321_cov_71.515464	SEPCBS119000_NODE737
NODE_738_length_321_cov_1.989691	SEPCBS119000_NODE738
NODE_739_length_321_cov_1.273196	SEPCBS119000_NODE739
NODE_740_length_321_cov_0.304124	SEPCBS119000_NODE740
NODE_741_length_321_cov_0.087629	SEPCBS119000_NODE741
NODE_742_length_320_cov_1.984456	SEPCBS119000_NODE742
NODE_743_length_320_cov_1.170984	SEPCBS119000_NODE743
NODE_744_length_320_cov_1.077720	SEPCBS119000_NODE744
NODE_745_length_320_cov_0.533679	SEPCBS119000_NODE745
NODE_746_length_319_cov_0.656250	SEPCBS119000_NODE746
NODE_747_length_319_cov_0.458333	SEPCBS119000_NODE747
NODE_748_length_319_cov_0.250000	SEPCBS119000_NODE748
NODE_749_length_318_cov_3.445026	SEPCBS119000_NODE749
NODE_750_length_318_cov_1.204188	SEPCBS119000_NODE750
NODE_751_length_318_cov_1.125654	SEPCBS119000_NODE751
NODE_752_length_318_cov_0.952880	SEPCBS119000_NODE752
NODE_753_length_318_cov_0.863874	SEPCBS119000_NODE753
NODE_754_length_318_cov_0.858639	SEPCBS119000_NODE754
NODE_755_length_318_cov_0.842932	SEPCBS119000_NODE755
NODE_756_length_318_cov_0.691099	SEPCBS119000_NODE756
NODE_757_length_318_cov_0.623037	SEPCBS119000_NODE757
NODE_758_length_317_cov_0.784211	SEPCBS119000_NODE758
NODE_759_length_317_cov_0.563158	SEPCBS119000_NODE759
NODE_760_length_316_cov_1.984127	SEPCBS119000_NODE760
NODE_761_length_316_cov_0.740741	SEPCBS119000_NODE761
NODE_762_length_315_cov_68.702128	SEPCBS119000_NODE762
NODE_763_length_315_cov_2.638298	SEPCBS119000_NODE763
NODE_764_length_315_cov_1.473404	SEPCBS119000_NODE764
NODE_765_length_315_cov_0.984043	SEPCBS119000_NODE765
NODE_766_length_315_cov_0.180851	SEPCBS119000_NODE766
NODE_767_length_314_cov_70.320856	SEPCBS119000_NODE767
NODE_768_length_314_cov_69.064171	SEPCBS119000_NODE768
NODE_769_length_314_cov_0.925134	SEPCBS119000_NODE769
NODE_770_length_314_cov_0.770053	SEPCBS119000_NODE770
NODE_771_length_314_cov_0.743316	SEPCBS119000_NODE771
NODE_772_length_314_cov_0.652406	SEPCBS119000_NODE772
NODE_773_length_313_cov_406.408602	SEPCBS119000_NODE773
NODE_774_length_313_cov_69.774194	SEPCBS119000_NODE774
NODE_775_length_313_cov_0.741935	SEPCBS119000_NODE775
NODE_776_length_313_cov_0.575269	SEPCBS119000_NODE776
NODE_777_length_312_cov_2.329730	SEPCBS119000_NODE777
NODE_778_length_312_cov_1.324324	SEPCBS119000_NODE778
NODE_779_length_312_cov_0.789189	SEPCBS119000_NODE779
NODE_780_length_312_cov_0.643243	SEPCBS119000_NODE780
NODE_781_length_312_cov_0.637838	SEPCBS119000_NODE781
NODE_782_length_312_cov_0.572973	SEPCBS119000_NODE782
NODE_783_length_312_cov_0.297297	SEPCBS119000_NODE783
NODE_784_length_312_cov_0.243243	SEPCBS119000_NODE784
NODE_785_length_311_cov_281.119565	SEPCBS119000_NODE785
NODE_786_length_311_cov_1.782609	SEPCBS119000_NODE786
NODE_787_length_311_cov_1.271739	SEPCBS119000_NODE787
NODE_788_length_311_cov_0.815217	SEPCBS119000_NODE788
NODE_789_length_311_cov_0.244565	SEPCBS119000_NODE789
NODE_790_length_310_cov_26.770492	SEPCBS119000_NODE790
NODE_791_length_310_cov_3.666667	SEPCBS119000_NODE791
NODE_792_length_310_cov_1.071038	SEPCBS119000_NODE792
NODE_793_length_310_cov_1.027322	SEPCBS119000_NODE793
NODE_794_length_310_cov_0.907104	SEPCBS119000_NODE794
NODE_795_length_310_cov_0.792350	SEPCBS119000_NODE795
NODE_796_length_310_cov_0.737705	SEPCBS119000_NODE796
NODE_797_length_310_cov_0.377049	SEPCBS119000_NODE797
NODE_798_length_310_cov_0.366120	SEPCBS119000_NODE798
NODE_799_length_310_cov_0.256831	SEPCBS119000_NODE799
NODE_800_length_309_cov_231.912088	SEPCBS119000_NODE800
NODE_801_length_309_cov_0.598901	SEPCBS119000_NODE801
NODE_802_length_309_cov_0.500000	SEPCBS119000_NODE802
NODE_803_length_309_cov_0.329670	SEPCBS119000_NODE803
NODE_804_length_308_cov_314.254144	SEPCBS119000_NODE804
NODE_805_length_308_cov_243.480663	SEPCBS119000_NODE805
NODE_806_length_308_cov_70.828729	SEPCBS119000_NODE806
NODE_807_length_308_cov_1.524862	SEPCBS119000_NODE807
NODE_808_length_308_cov_1.088398	SEPCBS119000_NODE808
NODE_809_length_308_cov_0.674033	SEPCBS119000_NODE809
NODE_810_length_308_cov_0.486188	SEPCBS119000_NODE810
NODE_811_length_307_cov_4.688889	SEPCBS119000_NODE811
NODE_812_length_307_cov_1.805556	SEPCBS119000_NODE812
NODE_813_length_307_cov_1.216667	SEPCBS119000_NODE813
NODE_814_length_307_cov_0.594444	SEPCBS119000_NODE814
NODE_815_length_307_cov_0.583333	SEPCBS119000_NODE815
NODE_816_length_307_cov_0.250000	SEPCBS119000_NODE816
NODE_817_length_307_cov_0.066667	SEPCBS119000_NODE817
NODE_818_length_306_cov_73.530726	SEPCBS119000_NODE818
NODE_819_length_306_cov_1.877095	SEPCBS119000_NODE819
NODE_820_length_306_cov_0.581006	SEPCBS119000_NODE820
NODE_821_length_306_cov_0.201117	SEPCBS119000_NODE821
NODE_822_length_305_cov_120.325843	SEPCBS119000_NODE822
NODE_823_length_305_cov_9.573034	SEPCBS119000_NODE823
NODE_824_length_305_cov_1.893258	SEPCBS119000_NODE824
NODE_825_length_305_cov_1.264045	SEPCBS119000_NODE825
NODE_826_length_305_cov_1.213483	SEPCBS119000_NODE826
NODE_827_length_305_cov_0.848315	SEPCBS119000_NODE827
NODE_828_length_305_cov_0.814607	SEPCBS119000_NODE828
NODE_829_length_305_cov_0.483146	SEPCBS119000_NODE829
NODE_830_length_305_cov_0.477528	SEPCBS119000_NODE830
NODE_831_length_305_cov_0.477528	SEPCBS119000_NODE831
NODE_832_length_305_cov_0.449438	SEPCBS119000_NODE832
NODE_833_length_305_cov_0.421348	SEPCBS119000_NODE833
NODE_834_length_305_cov_0.370787	SEPCBS119000_NODE834
NODE_835_length_305_cov_0.365169	SEPCBS119000_NODE835
NODE_836_length_305_cov_0.247191	SEPCBS119000_NODE836
NODE_837_length_304_cov_524.519774	SEPCBS119000_NODE837
NODE_838_length_303_cov_1.142045	SEPCBS119000_NODE838
NODE_839_length_303_cov_1.073864	SEPCBS119000_NODE839
NODE_840_length_303_cov_0.892045	SEPCBS119000_NODE840
NODE_841_length_303_cov_0.261364	SEPCBS119000_NODE841
NODE_842_length_302_cov_0.885714	SEPCBS119000_NODE842
NODE_843_length_302_cov_0.714286	SEPCBS119000_NODE843
NODE_844_length_302_cov_0.668571	SEPCBS119000_NODE844
NODE_845_length_302_cov_0.645714	SEPCBS119000_NODE845
NODE_846_length_302_cov_0.474286	SEPCBS119000_NODE846
NODE_847_length_302_cov_0.462857	SEPCBS119000_NODE847
NODE_848_length_302_cov_0.268571	SEPCBS119000_NODE848
NODE_849_length_302_cov_0.108571	SEPCBS119000_NODE849
NODE_850_length_301_cov_484.195402	SEPCBS119000_NODE850
NODE_851_length_301_cov_1.902299	SEPCBS119000_NODE851
NODE_852_length_301_cov_1.545977	SEPCBS119000_NODE852
NODE_853_length_301_cov_1.057471	SEPCBS119000_NODE853
NODE_854_length_301_cov_1.000000	SEPCBS119000_NODE854
NODE_855_length_301_cov_0.902299	SEPCBS119000_NODE855
NODE_856_length_301_cov_0.695402	SEPCBS119000_NODE856
NODE_857_length_301_cov_0.580460	SEPCBS119000_NODE857
NODE_858_length_301_cov_0.505747	SEPCBS119000_NODE858
NODE_859_length_301_cov_0.390805	SEPCBS119000_NODE859
