tip	accession	genus	kingdom	phylum	class	order	family
KAH6994015.1_Fusarium_venenatum	KAH6994015.1	Fusarium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae
KAI6773850.1_Fusarium_graminearum	KAI6773850.1	Fusarium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae
KAH7241287.1_Fusarium_tricinctum	KAH7241287.1	Fusarium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae
KAF4473112.1_Fusarium_albosuccineum	KAF4473112.1	Fusarium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae
RGP70849.1_Fusarium_longipes	RGP70849.1	Fusarium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae
KAF4996308.1_Fusarium_graminum	KAF4996308.1	Fusarium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae
RKL24452.1_Fusarium_oxysporum	RKL24452.1	Fusarium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae
KAH6957632.1_Ilyonectria_sp._MPI_CAGE_AT_0026	KAH6957632.1	Ilyonectria	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae
KAI5458749.1_Mariannaea_sp._PMI_226	KAI5458749.1	Mariannaea	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae
KPM37038.1_Neonectria_ditissima	KPM37038.1	Neonectria	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae
KAF7562633.1_Stylonectria_norvegica	KAF7562633.1	Stylonectria	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae
XP_018183102.1_Purpureocillium_lilacinum	XP_018183102.1	Purpureocillium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae
OAQ86421.1_Purpureocillium_lilacinum	OAQ86421.1	Purpureocillium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae
KAJ6444104.1_Purpureocillium_lavendulum	KAJ6444104.1	Purpureocillium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae
KAI9148106.1_Paramyrothecium_foliicola	KAI9148106.1	Paramyrothecium	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae
KAH7304735.1_Stachybotrys_elegans	KAH7304735.1	Stachybotrys	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae
KFH41721.1_Hapsidospora_chrysogenum_ATCC11550	KFH41721.1	Hapsidospora	Fungi	Ascomycota	Sordariomycetes	Hypocreales	unknown
SEPCBS119000_003998_T1_17_172_AA14		Sporothrix	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae
SEPCBS119000_004000_T1_17_291_AA14		Sporothrix	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae
SEPCBS119000_004001_T1_17_291_AA14		Sporothrix	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae
SEPCBS119000_006086_T1_17_291_AA14		Sporothrix	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae
SEPCBS119000_006698_T1_17_291_AA14		Sporothrix	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae
SEPCBS57363_006798_T1_7_167_AA14		Sporothrix	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae
SEPTF4163_004982_T1_17_290_AA14		Sporothrix	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae
SEPTF4163_006711_T1_17_172_AA14		Sporothrix	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae
KAK0636799.1_Bombardia_bombarda	KAK0636799.1	Bombardia	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae
KAK3353235.1_Lasiosphaeria_hispida	KAK3353235.1	Lasiosphaeria	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae
KAK0715594.1_Lasiosphaeris_hirsuta	KAK0715594.1	Lasiosphaeris	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae
KAK4207403.1_Rhypophila_decipiens	KAK4207403.1	Rhypophila	Fungi	Ascomycota	Sordariomycetes	Sordariales	Naviculisporaceae
KAK4161707.1_Cladorrhinum_sp._PSN259	KAK4161707.1	Cladorrhinum	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae
KAK3997737.1_Cladorrhinum_sp._PSN332	KAK3997737.1	Cladorrhinum	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae
KAK4231908.1_Podospora_fimiseda	KAK4231908.1	Podospora	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae
KAK3390723.1_Podospora_didyma	KAK3390723.1	Podospora	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae
KAK4184928.1_Podospora_australis	KAK4184928.1	Podospora	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae
XP_062764634.1_Podospora_pseudopauciseta	XP_062764634.1	Podospora	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae
KAJ4385058.1_Neurospora_sp._IMI360204	KAJ4385058.1	Neurospora	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae
KAI1255708.1_Eutypa_lata	KAI1255708.1	Eutypa	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae
KAI1455606.1_Annulohypoxylon_moriforme	KAI1455606.1	Annulohypoxylon	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
KAI1442607.1_Annulohypoxylon_stygium	KAI1442607.1	Annulohypoxylon	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
XP_047814482.1_Annulohypoxylon_maeteangense	XP_047814482.1	Annulohypoxylon	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
ASPSEMC78_008126_T1_20_177_AA14		Annulohypoxylon	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
AstygiMG137predictedgene_010173_T1_20_294_AA14		Annulohypoxylon	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
AtruncCBS140778predictedgene_010579_T1_20_177_AA14		Annulohypoxylon	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
OTB14934.1_Daldinia_sp._EC12	OTB14934.1	Daldinia	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
XP_049154505.1_Daldinia_loculata	XP_049154505.1	Daldinia	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
KAI0376862.1_Hypomontagnella_monticulosa	KAI0376862.1	Hypomontagnella	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
XP_051315023.1_Hypoxylon_trugodes	XP_051315023.1	Hypoxylon	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
KAI1136309.1_Hypoxylon_sp._FL0543	KAI1136309.1	Hypoxylon	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
OTA98336.1_Hypoxylon_sp._CI_4A	OTA98336.1	Hypoxylon	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
OTA89157.1_Hypoxylon_sp._CO27_5	OTA89157.1	Hypoxylon	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
KAI0842323.1_Hypoxylon_sp._FL0890	KAI0842323.1	Hypoxylon	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
KAI0155446.1_Hypoxylon_sp._FL1284	KAI0155446.1	Hypoxylon	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
KAI1770593.1_Hypoxylon_cercidicola	KAI1770593.1	Hypoxylon	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
KAI1408390.1_Hypoxylon_sp._FL1857	KAI1408390.1	Hypoxylon	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
KAI1404206.1_Hypoxylon_fuscum	KAI1404206.1	Hypoxylon	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
KAI1098482.1_Jackrogersella_minutella	KAI1098482.1	Jackrogersella	Fungi	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae
KAH8652406.1_Xylariales_sp._PMI_506	KAH8652406.1	Xylariales	Fungi	Ascomycota	Sordariomycetes	Xylariales	unknown
CAJ2512527.1_Anthostomella_pinea	CAJ2512527.1	Anthostomella	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae
KAI0593011.1_Biscogniauxia_sp._FL1348	KAI0593011.1	Biscogniauxia	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae
KAI1187396.1_Nemania_serpens	KAI1187396.1	Nemania	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae
KAI1174144.1_Nemania_sp._FL0916	KAI1174144.1	Nemania	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae
KAI1158901.1_Nemania_serpens	KAI1158901.1	Nemania	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae
KAI1111157.1_Nemania_sp._NC0429	KAI1111157.1	Nemania	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae
KAI1193918.1_Nemania_serpens	KAI1193918.1	Nemania	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae
KAI1077968.1_Whalleya_microplaca	KAI1077968.1	Whalleya	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae
KAH9992699.1_Xylariaceae_sp._FL0662B	KAH9992699.1	Xylariaceae	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae
KAI9731217.1_Cirrosporium_novae_zelandiae	KAI9731217.1	Cirrosporium	Fungi	Ascomycota	Xylobotryomycetes	Xylobotryales	Cirrosporiaceae
KAF7776349.1_Agaricus_bisporus_var.burnettii	KAF7776349.1	Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
XP_007327029.1_Agaricus_bisporus_burnettii	XP_007327029.1	Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
ABIH97_003209_T1_17_285_AA14		Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
ABIH97_004062_T1_863_1124_AA14		Agaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
KAF5364158.1_Leucoagaricus_leucothites	KAF5364158.1	Leucoagaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
KAF5359754.1_Leucoagaricus_leucothites	KAF5359754.1	Leucoagaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
KXN84873.1_Leucoagaricus_sp._SymC.cos	KXN84873.1	Leucoagaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
KXN89494.1_Leucoagaricus_sp._SymC.cos	KXN89494.1	Leucoagaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
KAF5349572.1_Leucoagaricus_leucothites	KAF5349572.1	Leucoagaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
KXN93349.1_Leucoagaricus_sp._SymC.cos	KXN93349.1	Leucoagaricus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
KAJ3576246.1_Leucocoprinus_birnbaumii	KAJ3576246.1	Leucocoprinus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
KAJ3568658.1_Leucocoprinus_birnbaumii	KAJ3568658.1	Leucocoprinus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
KAJ3561740.1_Leucocoprinus_birnbaumii	KAJ3561740.1	Leucocoprinus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
KAJ3572613.1_Leucocoprinus_birnbaumii	KAJ3572613.1	Leucocoprinus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
KAF9450455.1_Macrolepiota_fuliginosa_MF_IS2	KAF9450455.1	Macrolepiota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
KAF9443302.1_Macrolepiota_fuliginosa_MF_IS2	KAF9443302.1	Macrolepiota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
KAF9446568.1_Macrolepiota_fuliginosa_MF_IS2	KAF9446568.1	Macrolepiota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
KAF9451834.1_Macrolepiota_fuliginosa_MF_IS2	KAF9451834.1	Macrolepiota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae
KAF8344731.1_Amanita_rubescens	KAF8344731.1	Amanita	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
KAK2467259.1_Amanita_phalloides	KAK2467259.1	Amanita	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
PFH47251.1_Amanita_thiersii_Skay4041	PFH47251.1	Amanita	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
KAF8726126.1_Amanita_brunnescens_KoideBX004	KAF8726126.1	Amanita	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
KAF8622851.1_Amanita_polypyramis_BW_CC	KAF8622851.1	Amanita	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
PFH51108.1_Amanita_thiersii_Skay4041	PFH51108.1	Amanita	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
KAF8324378.1_Amanita_rubescens	KAF8324378.1	Amanita	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
KAF8731085.1_Amanita_brunnescens_KoideBX004	KAF8731085.1	Amanita	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
PFH53538.1_Amanita_thiersii_Skay4041	PFH53538.1	Amanita	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
KAF8638893.1_Amanita_inopinata_Kibby_2008	KAF8638893.1	Amanita	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
KIL68458.1_Amanita_muscaria_KoideBX008	KIL68458.1	Amanita	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
KIL67972.1_Amanita_muscaria_KoideBX008	KIL67972.1	Amanita	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae
CAA7267535.1_Cyclocybe_aegerita	CAA7267535.1	Cyclocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae
CAA7260964.1_Cyclocybe_aegerita	CAA7260964.1	Cyclocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae
CAA7260299.1_Cyclocybe_aegerita	CAA7260299.1	Cyclocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae
KAF9460320.1_Collybia_nuda	KAF9460320.1	Collybia	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clitocybaceae
KAF9465322.1_Collybia_nuda	KAF9465322.1	Collybia	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clitocybaceae
KAF9464509.1_Collybia_nuda	KAF9464509.1	Collybia	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clitocybaceae
KAF8813448.1_Phlegmacium_glaucopus	KAF8813448.1	Phlegmacium	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae
KAF8801887.1_Phlegmacium_glaucopus	KAF8801887.1	Phlegmacium	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae
KAF8150946.1_Crassisporium_funariophilum	KAF8150946.1	Crassisporium	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crassisporiaceae
KAF8150927.1_Crassisporium_funariophilum	KAF8150927.1	Crassisporium	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crassisporiaceae
KAF8162702.1_Crassisporium_funariophilum	KAF8162702.1	Crassisporium	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crassisporiaceae
KAF8157899.1_Crassisporium_funariophilum	KAF8157899.1	Crassisporium	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crassisporiaceae
KAF9522148.1_Crepidotus_variabilis	KAF9522148.1	Crepidotus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae
KAF9528239.1_Crepidotus_variabilis	KAF9528239.1	Crepidotus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae
KAF9524967.1_Crepidotus_variabilis	KAF9524967.1	Crepidotus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae
KAF9525849.1_Crepidotus_variabilis	KAF9525849.1	Crepidotus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae
KIY46248.1_Fistulina_hepatica_ATCC64428	KIY46248.1	Fistulina	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Fistulinaceae
KIY46927.1_Fistulina_hepatica_ATCC64428	KIY46927.1	Fistulina	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Fistulinaceae
KIY51548.1_Fistulina_hepatica_ATCC64428	KIY51548.1	Fistulina	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Fistulinaceae
KIY46262.1_Fistulina_hepatica_ATCC64428	KIY46262.1	Fistulina	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Fistulinaceae
KIY46497.1_Fistulina_hepatica_ATCC64428	KIY46497.1	Fistulina	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Fistulinaceae
KAF9048809.1_Panaeolus_papilionaceus	KAF9048809.1	Panaeolus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Galeropsidaceae
PPQ63558.1_Panaeolus_cyanescens	PPQ63558.1	Panaeolus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Galeropsidaceae
PPQ99173.1_Panaeolus_cyanescens	PPQ99173.1	Panaeolus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Galeropsidaceae
KAF9047830.1_Panaeolus_papilionaceus	KAF9047830.1	Panaeolus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Galeropsidaceae
KAF9032945.1_Panaeolus_papilionaceus	KAF9032945.1	Panaeolus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Galeropsidaceae
PPQ98999.1_Panaeolus_cyanescens	PPQ98999.1	Panaeolus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Galeropsidaceae
KAF9046145.1_Panaeolus_papilionaceus	KAF9046145.1	Panaeolus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Galeropsidaceae
KIK03019.1_Laccaria_amethystina_LaAM_08_1	KIK03019.1	Laccaria	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae
XP_001885228.1_Laccaria_bicolor_S238N_H82	XP_001885228.1	Laccaria	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae
XP_001878077.1_Laccaria_bicolor_S238N_H82	XP_001878077.1	Laccaria	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae
XP_001877230.1_Laccaria_bicolor_S238N_H82	XP_001877230.1	Laccaria	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae
KIK01335.1_Laccaria_amethystina_LaAM_08_1	KIK01335.1	Laccaria	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae
PPQ95450.1_Gymnopilus_dilepis	PPQ95450.1	Gymnopilus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae
KAF8872926.1_Gymnopilus_junonius	KAF8872926.1	Gymnopilus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae
PPR05141.1_Gymnopilus_dilepis	PPR05141.1	Gymnopilus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae
PPQ96400.1_Gymnopilus_dilepis	PPQ96400.1	Gymnopilus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae
KAF8901889.1_Gymnopilus_junonius	KAF8901889.1	Gymnopilus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae
KIM39331.1_Hebeloma_cylindrosporum_h7	KIM39331.1	Hebeloma	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae
KIM49751.1_Hebeloma_cylindrosporum_h7	KIM49751.1	Hebeloma	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae
KAG6818885.1_Arthromyces_matolae	KAG6818885.1	Arthromyces	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAG5645302.1_Asterophora_parasitica	KAG5645302.1	Asterophora	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAG5644957.1_Asterophora_parasitica	KAG5644957.1	Asterophora	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAG5642766.1_Asterophora_parasitica	KAG5642766.1	Asterophora	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAG5640879.1_Asterophora_parasitica	KAG5640879.1	Asterophora	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAG5640954.1_Asterophora_parasitica	KAG5640954.1	Asterophora	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAG6839967.1_Blastosporella_zonata	KAG6839967.1	Blastosporella	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
RDB17711.1_Hypsizygus_marmoreus	RDB17711.1	Hypsizygus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
RDB14866.1_Hypsizygus_marmoreus	RDB14866.1	Hypsizygus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
RDB19405.1_Hypsizygus_marmoreus	RDB19405.1	Hypsizygus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAF8063324.1_Lyophyllum_atratum	KAF8063324.1	Lyophyllum	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAF8057592.1_Lyophyllum_atratum	KAF8057592.1	Lyophyllum	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAF8061794.1_Lyophyllum_atratum	KAF8061794.1	Lyophyllum	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
GLB35639.1_Lyophyllum_shimeji	GLB35639.1	Lyophyllum	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
GLB38693.1_Lyophyllum_shimeji	GLB38693.1	Lyophyllum	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAF8074005.1_Lyophyllum_atratum	KAF8074005.1	Lyophyllum	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAG5650519.1_Sphagnurus_paluster	KAG5650519.1	Sphagnurus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAG5653756.1_Sphagnurus_paluster	KAG5653756.1	Sphagnurus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAG6833342.1_Tephrocybe_sp._NHM501043	KAG6833342.1	Tephrocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAG6917405.1_Tephrocybe_rancida	KAG6917405.1	Tephrocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAG6909396.1_Tephrocybe_rancida	KAG6909396.1	Tephrocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAG6816493.1_Tephrocybe_sp._NHM501043	KAG6816493.1	Tephrocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAH0580539.1_Termitomyces_sp.__cryptogamus_	KAH0580539.1	Termitomyces	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KNZ78922.1_Termitomyces_sp._J132	KNZ78922.1	Termitomyces	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAG5338821.1_Termitomyces_sp._Mn162	KAG5338821.1	Termitomyces	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAG6889154.1_Termitomyces_sp._Mi166_008	KAG6889154.1	Termitomyces	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KNZ77897.1_Termitomyces_sp._J132	KNZ77897.1	Termitomyces	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAF5375958.1_Tricholomella_constricta	KAF5375958.1	Tricholomella	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAF5377935.1_Tricholomella_constricta	KAF5377935.1	Tricholomella	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
KAF5386713.1_Tricholomella_constricta	KAF5386713.1	Tricholomella	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae
XP_043002583.1_Marasmius_oreades	XP_043002583.1	Marasmius	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae
KAF9263160.1_Marasmius_fiardii_PR_910	KAF9263160.1	Marasmius	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae
KAJ8093962.1_Marasmius_tenuissimus	KAJ8093962.1	Marasmius	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae
KAF9256181.1_Marasmius_fiardii_PR_910	KAF9256181.1	Marasmius	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae
KAK1218116.1_Marasmius_sp._AFHP31	KAK1218116.1	Marasmius	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae
KAF9261836.1_Marasmius_fiardii_PR_910	KAF9261836.1	Marasmius	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae
XP_043002673.1_Marasmius_oreades	XP_043002673.1	Marasmius	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae
KAI3612457.1_Moniliophthora_roreri	KAI3612457.1	Moniliophthora	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae
ESK91302.1_Moniliophthora_roreri_MCA2997	ESK91302.1	Moniliophthora	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae
EEB93106.1_Moniliophthora_perniciosa_FA553	EEB93106.1	Moniliophthora	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae
KAF5341365.1_Tetrapyrgos_nigripes	KAF5341365.1	Tetrapyrgos	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae
KAF5361158.1_Tetrapyrgos_nigripes	KAF5361158.1	Tetrapyrgos	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae
KAF5348338.1_Tetrapyrgos_nigripes	KAF5348338.1	Tetrapyrgos	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae
KAF5372097.1_Tetrapyrgos_nigripes	KAF5372097.1	Tetrapyrgos	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae
XP_037224121.1_Mycena_indigotica	XP_037224121.1	Mycena	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae
KAJ7163891.1_Mycena_crocata	KAJ7163891.1	Mycena	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae
KAJ7895088.1_Mycena_leptocephala	KAJ7895088.1	Mycena	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae
KAJ7470766.1_Mycena_latifolia	KAJ7470766.1	Mycena	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae
